$1000 Damage to Any One Person's Property,Bridge Detail,Construction Zone Flag,Construction Zone Workers Present Flag,Crash Time,Day of Week,Highway System,Intersecting Highway Number,Intersecting Street Name,Manner of Collision,Median Type,Median Width,Number of Entering Roads,Number of Lanes,Surface Condition,Surface Type,Surface Width,Weather Condition,Crash Severity
Yes,NOT APPLICABLE,No,No,300,SUNDAY,STATE SPUR,345,IH0345,ANGLE - BOTH GOING STRAIGHT,No Data,40,98 - OTHER (EXPLAIN IN NARRATIVE),8,1 - DRY,No Data,96,2 - CLOUDY,Not serious
Yes,NOT APPLICABLE,No,No,2049,TUESDAY,STATE SPUR,No Data,,SAME DIRECTION - BOTH GOING STRAIGHT-SIDESWIPE,No Data,40,97 - NOT APPLICABLE,8,1 - DRY,No Data,96,1 - CLEAR,Not serious
Yes,NOT APPLICABLE,No,No,1708,TUESDAY,STATE SPUR,No Data,,SAME DIRECTION - ONE STRAIGHT-ONE STOPPED,No Data,No Data,97 - NOT APPLICABLE,No Data,1 - DRY,No Data,No Data,2 - CLOUDY,Not serious
Yes,NOT APPLICABLE,No,No,1458,THURSDAY,STATE SPUR,No Data,,SAME DIRECTION - ONE STRAIGHT-ONE STOPPED,No Data,40,97 - NOT APPLICABLE,8,1 - DRY,No Data,96,1 - CLEAR,Not serious
Yes,NOT APPLICABLE,No,No,2346,FRIDAY,STATE SPUR,35,IH0035E,SAME DIRECTION - BOTH GOING STRAIGHT-REAR END,UNPROTECTED,40,97 - NOT APPLICABLE,6,1 - DRY,No Data,72,1 - CLEAR,Not serious
Yes,NOT APPLICABLE,No,No,2216,MONDAY,STATE SPUR,35,IH0035E,SAME DIRECTION - ONE STRAIGHT-ONE LEFT TURN,No Data,40,5 - FIVE ENTERING ROADS,8,1 - DRY,No Data,96,1 - CLEAR,Not serious
Yes,NOT APPLICABLE,Yes,No,2240,SATURDAY,STATE SPUR,35,IH0035E,OPPOSITE DIRECTION - ONE STRAIGHT-ONE LEFT TURN,No Data,40,4 - FOUR ENTERING ROADS,6,1 - DRY,No Data,72,1 - CLEAR,Serious
Yes,NOT APPLICABLE,No,No,730,TUESDAY,STATE SPUR,No Data,,SAME DIRECTION - ONE STRAIGHT-ONE STOPPED,No Data,No Data,97 - NOT APPLICABLE,No Data,1 - DRY,No Data,No Data,2 - CLOUDY,Not serious
Yes,NOT APPLICABLE,No,No,1815,MONDAY,STATE SPUR,No Data,,SAME DIRECTION - BOTH GOING STRAIGHT-SIDESWIPE,No Data,40,97 - NOT APPLICABLE,6,1 - DRY,No Data,72,1 - CLEAR,Not serious
Yes,NOT APPLICABLE,No,No,307,TUESDAY,STATE SPUR,345,IH0345,ONE MOTOR VEHICLE - GOING STRAIGHT,No Data,40,97 - NOT APPLICABLE,8,2 - WET,No Data,96,3 - RAIN,Not serious
Yes,NOT APPLICABLE,No,No,1057,TUESDAY,STATE SPUR,No Data,,SAME DIRECTION - BOTH GOING STRAIGHT-SIDESWIPE,No Data,No Data,97 - NOT APPLICABLE,No Data,1 - DRY,No Data,No Data,1 - CLEAR,Not serious
No,NOT APPLICABLE,No,No,1435,TUESDAY,STATE SPUR,No Data,,SAME DIRECTION - BOTH GOING STRAIGHT-SIDESWIPE,No Data,40,97 - NOT APPLICABLE,6,1 - DRY,No Data,72,1 - CLEAR,Not serious
Yes,NOT APPLICABLE,Yes,Yes,1037,MONDAY,STATE SPUR,35,IH0035E,OPPOSITE DIRECTION - ONE STRAIGHT-ONE LEFT TURN,UNPROTECTED,40,4 - FOUR ENTERING ROADS,6,1 - DRY,No Data,72,1 - CLEAR,Not serious
Yes,NOT APPLICABLE,No,No,1410,SATURDAY,STATE SPUR,345,IH0345,SAME DIRECTION - BOTH GOING STRAIGHT-REAR END,No Data,40,2 - THREE ENTERING ROADS - T,8,2 - WET,No Data,96,3 - RAIN,Not serious
Yes,NOT APPLICABLE,No,No,1705,WEDNESDAY,STATE SPUR,No Data,,SAME DIRECTION - BOTH GOING STRAIGHT-REAR END,No Data,40,97 - NOT APPLICABLE,8,1 - DRY,No Data,96,2 - CLOUDY,Not serious
Yes,NOT APPLICABLE,No,No,619,MONDAY,STATE SPUR,No Data,,ONE MOTOR VEHICLE - GOING STRAIGHT,No Data,40,97 - NOT APPLICABLE,8,2 - WET,No Data,96,1 - CLEAR,Not serious
Yes,NOT APPLICABLE,No,No,1130,WEDNESDAY,STATE SPUR,No Data,,SAME DIRECTION - BOTH GOING STRAIGHT-SIDESWIPE,No Data,40,97 - NOT APPLICABLE,6,1 - DRY,No Data,72,1 - CLEAR,Not serious
Yes,NOT APPLICABLE,No,No,35,SUNDAY,STATE SPUR,No Data,,SAME DIRECTION - BOTH GOING STRAIGHT-SIDESWIPE,No Data,40,97 - NOT APPLICABLE,8,1 - DRY,No Data,96,1 - CLEAR,Not serious
Yes,NOT APPLICABLE,No,No,2150,FRIDAY,STATE SPUR,345,IH0345,ONE MOTOR VEHICLE - TURNING LEFT,No Data,40,4 - FOUR ENTERING ROADS,8,1 - DRY,No Data,96,2 - CLOUDY,Not serious
Yes,NOT APPLICABLE,No,No,1040,WEDNESDAY,STATE SPUR,35,IH0035E,ANGLE - BOTH GOING STRAIGHT,No Data,40,97 - NOT APPLICABLE,8,1 - DRY,No Data,96,2 - CLOUDY,Not serious
Yes,NOT APPLICABLE,No,No,945,TUESDAY,STATE SPUR,35,IH0035E,SAME DIRECTION - ONE STRAIGHT-ONE STOPPED,No Data,40,97 - NOT APPLICABLE,8,1 - DRY,No Data,96,1 - CLEAR,Not serious
Yes,NOT APPLICABLE,No,No,840,THURSDAY,STATE SPUR,No Data,,SAME DIRECTION - BOTH GOING STRAIGHT-REAR END,No Data,No Data,97 - NOT APPLICABLE,No Data,1 - DRY,No Data,No Data,1 - CLEAR,Not serious
Yes,NOT APPLICABLE,No,No,1220,SUNDAY,STATE SPUR,No Data,,SAME DIRECTION - BOTH GOING STRAIGHT-SIDESWIPE,No Data,40,97 - NOT APPLICABLE,8,1 - DRY,No Data,96,2 - CLOUDY,Not serious
Yes,NOT APPLICABLE,No,No,17,THURSDAY,STATE SPUR,No Data,,ONE MOTOR VEHICLE - GOING STRAIGHT,No Data,40,97 - NOT APPLICABLE,8,1 - DRY,No Data,96,1 - CLEAR,Not serious
Yes,NOT APPLICABLE,No,No,2135,SATURDAY,STATE SPUR,No Data,,SAME DIRECTION - BOTH GOING STRAIGHT-SIDESWIPE,No Data,No Data,97 - NOT APPLICABLE,No Data,1 - DRY,No Data,No Data,2 - CLOUDY,Not serious
Yes,NOT APPLICABLE,No,No,1400,SUNDAY,STATE SPUR,No Data,,SAME DIRECTION - ONE STRAIGHT-ONE STOPPED,No Data,40,97 - NOT APPLICABLE,8,1 - DRY,No Data,96,1 - CLEAR,Serious
Yes,NOT APPLICABLE,Yes,Yes,2018,TUESDAY,STATE SPUR,No Data,,SAME DIRECTION - BOTH GOING STRAIGHT-SIDESWIPE,No Data,No Data,97 - NOT APPLICABLE,No Data,1 - DRY,No Data,No Data,2 - CLOUDY,Not serious
Yes,NOT APPLICABLE,No,No,1245,WEDNESDAY,STATE SPUR,No Data,FIELD ST,SAME DIRECTION - ONE STRAIGHT-ONE RIGHT TURN,No Data,No Data,97 - NOT APPLICABLE,No Data,1 - DRY,No Data,No Data,1 - CLEAR,Not serious
Yes,NOT APPLICABLE,No,No,2220,WEDNESDAY,STATE SPUR,35,IH0035E,SAME DIRECTION - BOTH GOING STRAIGHT-REAR END,No Data,40,97 - NOT APPLICABLE,6,1 - DRY,No Data,72,1 - CLEAR,Not serious
No,NOT APPLICABLE,No,No,2300,TUESDAY,STATE SPUR,345,IH0345,SAME DIRECTION - ONE STRAIGHT-ONE STOPPED,No Data,40,97 - NOT APPLICABLE,8,1 - DRY,No Data,96,1 - CLEAR,Not serious
Yes,NOT APPLICABLE,No,No,1415,SATURDAY,STATE SPUR,No Data,N FIELD ST,ANGLE - BOTH GOING STRAIGHT,No Data,No Data,3 - THREE ENTERING ROADS - Y,No Data,1 - DRY,No Data,No Data,1 - CLEAR,Not serious
Yes,NOT APPLICABLE,No,No,1003,THURSDAY,STATE SPUR,No Data,,SAME DIRECTION - BOTH GOING STRAIGHT-REAR END,No Data,40,97 - NOT APPLICABLE,6,1 - DRY,No Data,72,1 - CLEAR,Not serious
Yes,NOT APPLICABLE,No,No,1715,SATURDAY,STATE SPUR,No Data,,ONE MOTOR VEHICLE - GOING STRAIGHT,No Data,40,97 - NOT APPLICABLE,8,1 - DRY,No Data,96,1 - CLEAR,Not serious
Yes,NOT APPLICABLE,No,No,1555,SUNDAY,STATE SPUR,35,IH0035E,ANGLE - ONE STRAIGHT-ONE LEFT TURN,No Data,40,97 - NOT APPLICABLE,8,1 - DRY,No Data,96,1 - CLEAR,Not serious
No,NOT APPLICABLE,No,No,1400,FRIDAY,STATE SPUR,No Data,,SAME DIRECTION - BOTH GOING STRAIGHT-SIDESWIPE,No Data,40,97 - NOT APPLICABLE,8,1 - DRY,No Data,96,1 - CLEAR,Not serious
Yes,NOT APPLICABLE,No,No,2120,WEDNESDAY,STATE SPUR,No Data,,SAME DIRECTION - BOTH GOING STRAIGHT-REAR END,No Data,No Data,97 - NOT APPLICABLE,No Data,2 - WET,No Data,No Data,3 - RAIN,Not serious
Yes,NOT APPLICABLE,No,No,800,MONDAY,STATE SPUR,No Data,,ONE MOTOR VEHICLE - GOING STRAIGHT,No Data,40,97 - NOT APPLICABLE,6,1 - DRY,No Data,72,2 - CLOUDY,Not serious
Yes,NOT APPLICABLE,No,No,2327,SATURDAY,STATE SPUR,No Data,,SAME DIRECTION - BOTH GOING STRAIGHT-REAR END,No Data,No Data,97 - NOT APPLICABLE,No Data,1 - DRY,No Data,No Data,1 - CLEAR,Not serious
No,NOT APPLICABLE,No,No,1316,FRIDAY,STATE SPUR,No Data,,SAME DIRECTION - BOTH GOING STRAIGHT-REAR END,No Data,40,97 - NOT APPLICABLE,8,1 - DRY,No Data,96,1 - CLEAR,Not serious
Yes,NOT APPLICABLE,No,No,1846,MONDAY,STATE SPUR,No Data,,SAME DIRECTION - BOTH GOING STRAIGHT-SIDESWIPE,No Data,No Data,97 - NOT APPLICABLE,No Data,1 - DRY,No Data,No Data,1 - CLEAR,Not serious
Yes,NOT APPLICABLE,No,No,701,TUESDAY,STATE SPUR,No Data,,SAME DIRECTION - BOTH GOING STRAIGHT-SIDESWIPE,No Data,40,97 - NOT APPLICABLE,8,1 - DRY,No Data,96,2 - CLOUDY,Not serious
Yes,NOT APPLICABLE,No,No,1943,WEDNESDAY,STATE SPUR,No Data,,ONE MOTOR VEHICLE - GOING STRAIGHT,No Data,No Data,97 - NOT APPLICABLE,No Data,1 - DRY,No Data,No Data,1 - CLEAR,Not serious
Yes,NOT APPLICABLE,No,No,1918,TUESDAY,STATE SPUR,35,IH0035E,ANGLE - BOTH GOING STRAIGHT,No Data,40,4 - FOUR ENTERING ROADS,8,1 - DRY,No Data,96,1 - CLEAR,Not serious
Yes,NOT APPLICABLE,No,No,1345,MONDAY,STATE SPUR,No Data,,ONE MOTOR VEHICLE - GOING STRAIGHT,No Data,40,2 - THREE ENTERING ROADS - T,8,1 - DRY,No Data,96,1 - CLEAR,Not serious
Yes,NOT APPLICABLE,No,No,1314,SUNDAY,STATE SPUR,No Data,,SAME DIRECTION - ONE STRAIGHT-ONE STOPPED,No Data,40,97 - NOT APPLICABLE,8,1 - DRY,No Data,96,1 - CLEAR,Not serious
Yes,NOT APPLICABLE,No,No,1050,SUNDAY,STATE SPUR,No Data,,OPPOSITE DIRECTION - ONE STRAIGHT-ONE BACKING,No Data,40,97 - NOT APPLICABLE,8,1 - DRY,No Data,96,1 - CLEAR,Not serious
Yes,NOT APPLICABLE,No,No,700,THURSDAY,STATE SPUR,No Data,,SAME DIRECTION - BOTH GOING STRAIGHT-SIDESWIPE,No Data,40,97 - NOT APPLICABLE,8,1 - DRY,No Data,96,1 - CLEAR,Not serious
Yes,NOT APPLICABLE,No,No,1529,SUNDAY,STATE SPUR,No Data,,SAME DIRECTION - BOTH GOING STRAIGHT-REAR END,No Data,40,97 - NOT APPLICABLE,8,1 - DRY,No Data,96,1 - CLEAR,Not serious
Yes,NOT APPLICABLE,No,No,22,MONDAY,STATE SPUR,No Data,,SAME DIRECTION - BOTH GOING STRAIGHT-REAR END,No Data,40,97 - NOT APPLICABLE,8,1 - DRY,No Data,96,1 - CLEAR,Not serious
Yes,NOT APPLICABLE,No,No,1645,MONDAY,STATE SPUR,No Data,,SAME DIRECTION - BOTH GOING STRAIGHT-SIDESWIPE,No Data,40,97 - NOT APPLICABLE,8,1 - DRY,No Data,96,1 - CLEAR,Not serious
Yes,NOT APPLICABLE,No,No,2130,SATURDAY,STATE SPUR,No Data,,SAME DIRECTION - ONE STRAIGHT-ONE STOPPED,No Data,40,97 - NOT APPLICABLE,8,1 - DRY,No Data,96,1 - CLEAR,Not serious
Yes,NOT APPLICABLE,No,No,1713,FRIDAY,STATE SPUR,No Data,,SAME DIRECTION - BOTH GOING STRAIGHT-REAR END,No Data,40,97 - NOT APPLICABLE,8,1 - DRY,No Data,96,1 - CLEAR,Not serious
Yes,NOT APPLICABLE,No,No,1640,FRIDAY,STATE SPUR,No Data,,SAME DIRECTION - BOTH GOING STRAIGHT-SIDESWIPE,No Data,40,97 - NOT APPLICABLE,8,1 - DRY,No Data,96,2 - CLOUDY,Not serious
Yes,NOT APPLICABLE,No,No,1235,THURSDAY,STATE SPUR,No Data,,SAME DIRECTION - BOTH GOING STRAIGHT-REAR END,No Data,40,97 - NOT APPLICABLE,8,1 - DRY,No Data,96,1 - CLEAR,Not serious
Yes,NOT APPLICABLE,No,No,1838,SUNDAY,STATE SPUR,No Data,,SAME DIRECTION - BOTH GOING STRAIGHT-REAR END,No Data,40,97 - NOT APPLICABLE,8,1 - DRY,No Data,96,1 - CLEAR,Not serious
Yes,STRUCTURE NOT HIT,No,No,15,FRIDAY,STATE SPUR,No Data,,SAME DIRECTION - BOTH GOING STRAIGHT-REAR END,No Data,40,97 - NOT APPLICABLE,6,1 - DRY,No Data,72,2 - CLOUDY,Not serious
Yes,NOT APPLICABLE,No,No,1615,WEDNESDAY,STATE SPUR,35,IH0035E,OPPOSITE DIRECTION - ONE STRAIGHT-ONE LEFT TURN,UNPROTECTED,40,4 - FOUR ENTERING ROADS,6,2 - WET,No Data,72,3 - RAIN,Not serious
Yes,NOT APPLICABLE,No,No,945,FRIDAY,STATE SPUR,35,IH0035E,ANGLE - ONE STRAIGHT-ONE LEFT TURN,No Data,40,4 - FOUR ENTERING ROADS,8,1 - DRY,No Data,96,1 - CLEAR,Not serious
